,College_Name,One_Year_Fee,Enterance_Exam,Rating,Review_Counts,Approved_By,Place,More_Details
334,Amity University,"₹ 135,000",AMITY JEE, 7.8 ,(90 Reviews),['UGC'],"Ranchi,Jharkhand",https://collegedunia.com/university/56503-amity-university-ranchi
335,Chandigarh Group of Colleges - [CGC] Jhanjeri,"₹ 96,500",JEE MAIN, 7.8 ,(90 Reviews),['UGC'],"Ranchi,Jharkhand",https://collegedunia.com/university/56503-amity-university-ranchi
336,PSG Institute of Technology and Applied Research - [PSG iTech],"₹ 89,800",TNEA, 8.7 ,(22 Reviews),['AICTE'],"Coimbatore,TamilNadu",https://collegedunia.com/college/57691-psg-institute-of-technology-and-applied-research-psg-itech-coimbatore
337,MLR Institute of Technology - [MLRIT],"₹ 115,000",TS EAMCET, 8.2 ,(296 Reviews),"['AICTE, NBA']","Hyderabad,Telangana",https://collegedunia.com/college/58194-mlr-institute-of-technology-mlrit-hyderabad
338,Swami Vivekanand University,"₹ 44,000",JEE MAIN, 8.2 ,(296 Reviews),"['AICTE, NBA']","Hyderabad,Telangana",https://collegedunia.com/college/58194-mlr-institute-of-technology-mlrit-hyderabad
339,Mahaveer Institute of Engineering & Technology - [MIET],--,UPCET, 7.5 ,(2 Reviews),['AICTE'],"Meerut,UttarPradesh",https://collegedunia.com/college/58553-mahaveer-institute-of-engineering-and-technology-miet-meerut
340,IIMT Group of Colleges,"₹ 120,000",JEE MAIN, 7.5 ,(2 Reviews),['AICTE'],"Meerut,UttarPradesh",https://collegedunia.com/college/58553-mahaveer-institute-of-engineering-and-technology-miet-meerut
341,Atmiya University,"₹ 81,000",JEE MAIN, 7.5 ,(2 Reviews),['AICTE'],"Meerut,UttarPradesh",https://collegedunia.com/college/58553-mahaveer-institute-of-engineering-and-technology-miet-meerut
342,Acropolis Group of Institutions,"₹ 73,600",JEE MAIN, 7.5 ,(2 Reviews),['AICTE'],"Meerut,UttarPradesh",https://collegedunia.com/college/58553-mahaveer-institute-of-engineering-and-technology-miet-meerut
343,SRM University Delhi NCR,"₹ 216,000",SRMHCAT, 7.9 ,(79 Reviews),"['BCI, NCHMCT, UGC, AIU']","Sonepat,Haryana",https://collegedunia.com/university/54838-srm-university-delhi-ncr-sonepat
344,Jharkhand Rai University - [JRU],"₹ 85,000",JEE MAIN, 7.9 ,(79 Reviews),"['BCI, NCHMCT, UGC, AIU']","Sonepat,Haryana",https://collegedunia.com/university/54838-srm-university-delhi-ncr-sonepat
